age,male_nonsmoker,male_smoker,female_nonsmoker,female_smoker,unit,product_label,tariff_as_of,source_pdf
32,0.84,1.25,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
33,0.84,1.29,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
34,0.84,1.33,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
35,0.84,1.38,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
36,0.84,1.43,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
37,0.87,1.51,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
38,0.92,1.60,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
39,0.97,1.71,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
40,1.03,1.83,0.80,1.21,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
41,1.10,1.97,0.84,1.34,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
42,1.17,2.12,0.90,1.48,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
43,1.25,2.30,0.96,1.64,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
44,1.34,2.50,1.04,1.82,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
45,1.46,2.76,1.13,2.05,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
46,1.59,3.05,1.23,2.30,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
47,1.73,3.38,1.34,2.58,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
48,1.90,3.77,1.47,2.91,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
49,2.09,4.21,1.61,3.28,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
50,2.31,4.71,1.77,3.70,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
51,2.55,5.28,1.95,4.17,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
52,2.83,5.93,2.15,4.71,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
53,3.14,6.67,2.38,5.31,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
54,3.50,7.51,2.64,5.99,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
55,3.90,8.46,2.92,6.76,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
56,4.36,9.54,3.25,7.62,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
57,4.87,10.75,3.61,8.59,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
58,5.46,12.12,4.02,9.67,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
59,6.13,13.66,4.48,10.89,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
60,6.88,15.38,4.99,12.24,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
61,7.74,17.31,5.57,13.76,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
62,8.70,19.46,6.22,15.45,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
63,9.80,21.86,6.95,17.33,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
64,11.04,24.54,7.77,19.42,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
65,12.45,27.51,8.70,21.74,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
66,14.05,30.80,9.73,24.31,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
67,15.85,34.44,10.90,27.16,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
68,17.89,38.46,12.20,30.31,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
69,20.21,42.89,13.67,33.78,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
70,22.82,47.76,15.32,37.61,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
71,25.78,53.10,17.17,41.82,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
72,29.12,58.94,19.25,46.45,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
73,32.90,65.31,21.58,51.53,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
74,34.88,67.80,22.71,53.56,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
75,37.11,70.53,23.99,55.81,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
76,41.92,77.76,26.90,61.67,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
77,47.35,85.58,30.16,68.05,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
78,53.47,94.02,33.82,74.98,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
79,60.36,103.11,37.92,82.51,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
